[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 100, Threads: 1, Elapsed time: 87 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 100, Threads: 1, Elapsed time: 91 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 100, Threads: 1, Elapsed time: 95 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 1, Elapsed time: 123 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 2, Elapsed time: 137 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 4, Elapsed time: 101 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 6, Elapsed time: 134 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 8, Elapsed time: 109 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 10, Elapsed time: 113 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 12, Elapsed time: 89 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 14, Elapsed time: 102 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 16, Elapsed time: 110 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 18, Elapsed time: 116 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 100, Threads: 20, Elapsed time: 120 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 100, Threads: 1, Elapsed time: 176 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 100, Threads: 2, Elapsed time: 114 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 100, Threads: 4, Elapsed time: 62 ms
