[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 289 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 245 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 252 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 399 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 2, Elapsed time: 403 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 4, Elapsed time: 297 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 6, Elapsed time: 301 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 8, Elapsed time: 312 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 10, Elapsed time: 365 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 12, Elapsed time: 317 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 14, Elapsed time: 282 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 16, Elapsed time: 291 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 18, Elapsed time: 270 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 20, Elapsed time: 418 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 451 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 2, Elapsed time: 352 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 4, Elapsed time: 226 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 6, Elapsed time: 149 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 8, Elapsed time: 147 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 10, Elapsed time: 124 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 12, Elapsed time: 116 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 14, Elapsed time: 84 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 16, Elapsed time: 105 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 18, Elapsed time: 114 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 20, Elapsed time: 79 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 152401 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 151798 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 148465 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 59402 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 2, Elapsed time: 20214 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 4, Elapsed time: 30511 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 6, Elapsed time: 18995 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 8, Elapsed time: 16249 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 10, Elapsed time: 16264 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 12, Elapsed time: 21231 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 14, Elapsed time: 15705 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 16, Elapsed time: 12760 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 18, Elapsed time: 12937 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 20, Elapsed time: 14032 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 33839 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 2, Elapsed time: 4927 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 4, Elapsed time: 1187 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 6, Elapsed time: 751 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 8, Elapsed time: 648 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 10, Elapsed time: 468 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 12, Elapsed time: 452 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 14, Elapsed time: 389 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 16, Elapsed time: 364 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 18, Elapsed time: 402 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 20, Elapsed time: 376 ms
