[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 999 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 1159 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 801 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 799 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 792 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 597 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 571 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 598 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 652 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 579 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 741 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 16, Elapsed time: 783 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 18, Elapsed time: 676 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 20, Elapsed time: 774 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 854 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 511 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 316 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 293 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 205 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 224 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 220 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 178 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 16, Elapsed time: 155 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 18, Elapsed time: 176 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 20, Elapsed time: 170 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 826239 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 812785 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 807825 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 502325 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 316640 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 204290 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 150212 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 124554 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 109454 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 104954 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 104125 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 16, Elapsed time: 100346 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 18, Elapsed time: 98250 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 20, Elapsed time: 98311 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 74457 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 11381 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 2088 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 1037 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 761 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 873 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 1069 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 823 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 16, Elapsed time: 780 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 18, Elapsed time: 776 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 20, Elapsed time: 770 ms
