[DemeterDJTest#found_one_instance() - Before] - Heap: Used 4620 MB, Max 7984 MB | Non-Heap: Used 19 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 5452 MB, Max 7984 MB | Non-Heap: Used 23 MB
[DemeterDJTest#found_one_instance() - Before] - Heap: Used 6230 MB, Max 7984 MB | Non-Heap: Used 19 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 4556 MB, Max 7984 MB | Non-Heap: Used 23 MB
[DemeterDJTest#found_one_instance() - Before] - Heap: Used 5546 MB, Max 7984 MB | Non-Heap: Used 19 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 6370 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 4756 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 5500 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 4750 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 5522 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 6532 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 4912 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 6828 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 5382 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 5996 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 6776 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 5098 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 5858 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 6096 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 6856 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 6424 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 4958 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 5454 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 6306 MB, Max 7984 MB | Non-Heap: Used 20 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 6558 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 4906 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 6116 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 6912 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 6206 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 6906 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 6750 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 4748 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 6822 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 4652 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 5230 MB, Max 7984 MB | Non-Heap: Used 17 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 5394 MB, Max 7984 MB | Non-Heap: Used 20 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 4854 MB, Max 7984 MB | Non-Heap: Used 17 MB
