[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 383 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 363 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 350 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 546 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 492 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 338 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 354 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 500 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 545 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 486 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 426 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 16, Elapsed time: 504 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 18, Elapsed time: 413 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 20, Elapsed time: 427 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 629 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 364 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 235 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 175 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 123 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 229 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 142 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 95 ms
