[DemeterDJTest#found_one_instance() - Before] - Heap: Used 2357 MB, Max 7984 MB | Non-Heap: Used 20 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 2829 MB, Max 7984 MB | Non-Heap: Used 23 MB
[DemeterDJTest#found_one_instance() - Before] - Heap: Used 2052 MB, Max 7984 MB | Non-Heap: Used 20 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 2528 MB, Max 7984 MB | Non-Heap: Used 23 MB
[DemeterDJTest#found_one_instance() - Before] - Heap: Used 2201 MB, Max 7984 MB | Non-Heap: Used 19 MB
[DemeterDJTest#found_one_instance() - After] - Heap: Used 2673 MB, Max 7984 MB | Non-Heap: Used 23 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 3314 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2366 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2897 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 3321 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2927 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 3359 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2709 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 3141 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2673 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 3109 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2303 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2767 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2495 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2959 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2615 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 3067 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2429 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2901 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2587 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2138 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - Before] - Heap: Used 2143 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_full_shared_node() - After] - Heap: Used 2627 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2533 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2929 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 3015 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2115 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2641 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2749 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2261 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2369 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2047 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2131 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2209 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2273 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2239 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2295 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2555 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2627 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2241 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2313 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2855 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2113 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 2189 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 2237 MB, Max 7984 MB | Non-Heap: Used 21 MB
[DemeterDJTest#not_found_one_instance() - Before] - Heap: Used 1962 MB, Max 7984 MB | Non-Heap: Used 20 MB
[DemeterDJTest#not_found_one_instance() - After] - Heap: Used 4221 MB, Max 7984 MB | Non-Heap: Used 22 MB
[DemeterDJTest#not_found_one_instance() - Before] - Heap: Used 2257 MB, Max 7984 MB | Non-Heap: Used 20 MB
[DemeterDJTest#not_found_one_instance() - After] - Heap: Used 2819 MB, Max 7984 MB | Non-Heap: Used 21 MB
[DemeterDJTest#not_found_one_instance() - Before] - Heap: Used 2088 MB, Max 7984 MB | Non-Heap: Used 20 MB
[DemeterDJTest#not_found_one_instance() - After] - Heap: Used 2439 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - Before] - Heap: Used 2909 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - After] - Heap: Used 2467 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - Before] - Heap: Used 2091 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - After] - Heap: Used 5868 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - Before] - Heap: Used 2133 MB, Max 7984 MB | Non-Heap: Used 18 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - After] - Heap: Used 3725 MB, Max 7984 MB | Non-Heap: Used 20 MB
