[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 663 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 893 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 738 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 978 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 693 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 639 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 629 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 554 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 671 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 736 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 733 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 16, Elapsed time: 708 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 18, Elapsed time: 830 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 20, Elapsed time: 649 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 805 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 496 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 340 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 280 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 239 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 209 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 218 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 191 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 16, Elapsed time: 189 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 18, Elapsed time: 181 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 20, Elapsed time: 142 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 785162 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 779409 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 792486 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 485038 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 318338 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 200137 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 150917 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 92057 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 109628 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 100544 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 88305 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 16, Elapsed time: 87039 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 18, Elapsed time: 82779 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 400, Threads: 20, Elapsed time: 78769 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 1, Elapsed time: 168706 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 2, Elapsed time: 26647 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 4, Elapsed time: 4125 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 6, Elapsed time: 1749 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 8, Elapsed time: 1139 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 10, Elapsed time: 894 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 12, Elapsed time: 844 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 14, Elapsed time: 887 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 16, Elapsed time: 703 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 18, Elapsed time: 576 ms
[IntrospectorFilterTest#not_found_one_instance_independent_path()] Graph size: 1, Collections size: 400, Threads: 20, Elapsed time: 677 ms
