[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 704 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 361 ms
[DemeterDJTest#found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 273 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 298 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 2, Elapsed time: 355 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 4, Elapsed time: 320 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 6, Elapsed time: 257 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 8, Elapsed time: 316 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 10, Elapsed time: 273 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 12, Elapsed time: 293 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 14, Elapsed time: 371 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 16, Elapsed time: 434 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 18, Elapsed time: 218 ms
[IntrospectorFilterTest#found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 20, Elapsed time: 363 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 401 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 2, Elapsed time: 186 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 4, Elapsed time: 192 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 6, Elapsed time: 134 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 8, Elapsed time: 101 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 10, Elapsed time: 82 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 12, Elapsed time: 131 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 14, Elapsed time: 109 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 16, Elapsed time: 129 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 18, Elapsed time: 103 ms
[IntrospectorFilterTest#found_one_instance_independent_path()] Graph size: 1, Collections size: 300, Threads: 20, Elapsed time: 87 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 142669 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 145720 ms
[DemeterDJTest#not_found_one_instance()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 149157 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 1, Elapsed time: 35504 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 2, Elapsed time: 34409 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 4, Elapsed time: 27060 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 6, Elapsed time: 18675 ms
[IntrospectorFilterTest#not_found_one_instance_full_shared_node()] Graph size: 1, Collections size: 300, Threads: 8, Elapsed time: 12509 ms
