[IntrospectorFilterTest#found_one_instance_independent_path() - Before] - Heap: Used 165 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#found_one_instance_independent_path() - After] - Heap: Used 90 MB, Max 7984 MB | Non-Heap: Used 21 MB
[DemeterDJTest#not_found_one_instance() - Before] - Heap: Used 91 MB, Max 7984 MB | Non-Heap: Used 22 MB
[DemeterDJTest#not_found_one_instance() - After] - Heap: Used 430 MB, Max 7984 MB | Non-Heap: Used 22 MB
[DemeterDJTest#not_found_one_instance() - Before] - Heap: Used 83 MB, Max 7984 MB | Non-Heap: Used 22 MB
[DemeterDJTest#not_found_one_instance() - After] - Heap: Used 184 MB, Max 7984 MB | Non-Heap: Used 22 MB
[DemeterDJTest#not_found_one_instance() - Before] - Heap: Used 114 MB, Max 7984 MB | Non-Heap: Used 22 MB
[DemeterDJTest#not_found_one_instance() - After] - Heap: Used 187 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - Before] - Heap: Used 164 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - After] - Heap: Used 145 MB, Max 7984 MB | Non-Heap: Used 21 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - Before] - Heap: Used 165 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - After] - Heap: Used 958 MB, Max 7984 MB | Non-Heap: Used 20 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - Before] - Heap: Used 167 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - After] - Heap: Used 1051 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - Before] - Heap: Used 161 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - After] - Heap: Used 1304 MB, Max 7984 MB | Non-Heap: Used 22 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - Before] - Heap: Used 162 MB, Max 7984 MB | Non-Heap: Used 19 MB
[IntrospectorFilterTest#not_found_one_instance_full_shared_node() - After] - Heap: Used 1269 MB, Max 7984 MB | Non-Heap: Used 22 MB
